Question,Answer
What days does the course 85719 Introduction to Parallel Distributed Processing meet?,"Tuesday, Thursday"
What is the location of the course 85719 Introduction to Parallel Distributed Processing?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 85719 Introduction to Parallel Distributed Processing?,BH 336B
How many units is the course 85719 Introduction to Parallel Distributed Processing?,"9,12"
Who are the instructors of the course 85719 Introduction to Parallel Distributed Processing?,Plaut
What is the course number of Data Science for Psychology & Neuroscience?,85732
What is the name of course number 85732?,Data Science for Psychology & Neuroscience
What time does the course 85732 Data Science for Psychology & Neuroscience begin?,02:00PM
What time does the course 85732 Data Science for Psychology & Neuroscience end?,03:20PM
What days does the course 85732 Data Science for Psychology & Neuroscience meet?,"Monday, Wednesday, "
What is the location of the course 85732 Data Science for Psychology & Neuroscience?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 85732 Data Science for Psychology & Neuroscience?,CMU REMOTE
How many units is the course 85732 Data Science for Psychology & Neuroscience?,9.0
Who are the instructors of the course 85732 Data Science for Psychology & Neuroscience?,Verstynen
What is the course number of Community for Advanced Methodological Learning?,85767
What is the name of course number 85767?,Community for Advanced Methodological Learning
What time does the course 85767 Community for Advanced Methodological Learning begin?,12:00PM
What time does the course 85767 Community for Advanced Methodological Learning end?,01:00PM
What days does the course 85767 Community for Advanced Methodological Learning meet?,"Tuesday, Thursday"
What is the location of the course 85767 Community for Advanced Methodological Learning?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 85767 Community for Advanced Methodological Learning?,TBA    
How many units is the course 85767 Community for Advanced Methodological Learning?,3.0
Who are the instructors of the course 85767 Community for Advanced Methodological Learning?,Instructor TBA
What is the course number of Professional Development?,85811
What is the name of course number 85811?,Professional Development
What time does the course 85811 Professional Development begin?,12:30PM
What time does the course 85811 Professional Development end?,01:50PM
What days does the course 85811 Professional Development meet?,Friday
What is the location of the course 85811 Professional Development?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 85811 Professional Development?,BH 336B
How many units is the course 85811 Professional Development?,5.0
Who are the instructors of the course 85811 Professional Development?,Donahoe
What is the course number of Business Analytics for Managers?,91729
What is the name of course number 91729?,Business Analytics for Managers
What time does the course 91729 Business Analytics for Managers begin?,06:30PM
What time does the course 91729 Business Analytics for Managers end?,09:20PM
What days does the course 91729 Business Analytics for Managers meet?,Thursday
What is the location of the course 91729 Business Analytics for Managers?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 91729 Business Analytics for Managers?,HBH 1005
How many units is the course 91729 Business Analytics for Managers?,6.0
Who are the instructors of the course 91729 Business Analytics for Managers?,"Vadlamudi                                        S       02:00PM 03:20PM CMU REMOTE      Pittsburgh, Pennsylvania"
What is the course number of Management Science I?,90429
What is the name of course number 90429?,Management Science I
What time does the course 90429 Management Science I begin?,02:00PM
What time does the course 90429 Management Science I end?,03:20PM
What days does the course 90429 Management Science I meet?,"Tuesday, Thursday"
What is the location of the course 90429 Management Science I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90429 Management Science I?,HBH 1002
How many units is the course 90429 Management Science I?,6.0
Who are the instructors of the course 90429 Management Science I?,Wiberg
What is the course number of Critical Analysis of Policy Research?,90440
What is the name of course number 90440?,Critical Analysis of Policy Research
What time does the course 90440 Critical Analysis of Policy Research begin?,02:00PM
What time does the course 90440 Critical Analysis of Policy Research end?,03:20PM
What days does the course 90440 Critical Analysis of Policy Research meet?,"Tuesday, Thursday"
What is the location of the course 90440 Critical Analysis of Policy Research?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90440 Critical Analysis of Policy Research?,HBH 1006
How many units is the course 90440 Critical Analysis of Policy Research?,12.0
Who are the instructors of the course 90440 Critical Analysis of Policy Research?,Kovak
What is the course number of Elective Politics and Policy-Making?,90449
What is the name of course number 90449?,Elective Politics and Policy-Making
What time does the course 90449 Elective Politics and Policy-Making begin?,06:30PM
What time does the course 90449 Elective Politics and Policy-Making end?,09:20PM
What days does the course 90449 Elective Politics and Policy-Making meet?,"Tuesday, "
What is the location of the course 90449 Elective Politics and Policy-Making?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90449 Elective Politics and Policy-Making?,HBH 1006
How many units is the course 90449 Elective Politics and Policy-Making?,6.0
Who are the instructors of the course 90449 Elective Politics and Policy-Making?,Lamb
What is the course number of Methods of Policy Analysis: Future of Work?,90475
What is the name of course number 90475?,Methods of Policy Analysis: Future of Work
What time does the course 90475 Methods of Policy Analysis: Future of Work begin?,05:00PM
What time does the course 90475 Methods of Policy Analysis: Future of Work end?,06:20PM
What days does the course 90475 Methods of Policy Analysis: Future of Work meet?,"Tuesday, Thursday"
What is the location of the course 90475 Methods of Policy Analysis: Future of Work?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90475 Methods of Policy Analysis: Future of Work?,HBH 2003
How many units is the course 90475 Methods of Policy Analysis: Future of Work?,12.0
Who are the instructors of the course 90475 Methods of Policy Analysis: Future of Work?,Branstetter
What is the course number of Policy and Politics an International Perspective?,90713
What is the name of course number 90713?,Policy and Politics an International Perspective
What time does the course 90713 Policy and Politics an International Perspective begin?,02:00PM
What time does the course 90713 Policy and Politics an International Perspective end?,03:20PM
What days does the course 90713 Policy and Politics an International Perspective meet?,"Monday, Wednesday, "
What is the location of the course 90713 Policy and Politics an International Perspective?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90713 Policy and Politics an International Perspective?,HBH 1005
How many units is the course 90713 Policy and Politics an International Perspective?,12.0
Who are the instructors of the course 90713 Policy and Politics an International Perspective?,Borzutzky
What is the course number of Strategic Presentation Skills?,90718
What is the name of course number 90718?,Strategic Presentation Skills
What time does the course 90718 Strategic Presentation Skills begin?,09:30AM
What time does the course 90718 Strategic Presentation Skills end?,10:50AM
What days does the course 90718 Strategic Presentation Skills meet?,"Monday, Wednesday, "
What is the location of the course 90718 Strategic Presentation Skills?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90718 Strategic Presentation Skills?,HBH 1007
How many units is the course 90718 Strategic Presentation Skills?,6.0
Who are the instructors of the course 90718 Strategic Presentation Skills?,Hyatt
What is the course number of Management Science I?,90722
What is the name of course number 90722?,Management Science I
What time does the course 90722 Management Science I begin?,02:00PM
What time does the course 90722 Management Science I end?,03:20PM
What days does the course 90722 Management Science I meet?,"Tuesday, Thursday"
What is the location of the course 90722 Management Science I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90722 Management Science I?,HBH 1002
How many units is the course 90722 Management Science I?,6.0
Who are the instructors of the course 90722 Management Science I?,Wiberg
What is the course number of Introduction to Database Management?,90728
What is the name of course number 90728?,Introduction to Database Management
What time does the course 90728 Introduction to Database Management begin?,11:00AM
What time does the course 90728 Introduction to Database Management end?,12:20PM
What days does the course 90728 Introduction to Database Management meet?,"Tuesday, Thursday"
What is the location of the course 90728 Introduction to Database Management?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90728 Introduction to Database Management?,HBH 1204
How many units is the course 90728 Introduction to Database Management?,6.0
Who are the instructors of the course 90728 Introduction to Database Management?,Tu
What is the course number of Systems Synthesis I?,90739
What is the name of course number 90739?,Systems Synthesis I
What time does the course 90739 Systems Synthesis I begin?,05:00PM
What time does the course 90739 Systems Synthesis I end?,06:20PM
What days does the course 90739 Systems Synthesis I meet?,"Monday, Wednesday, "
What is the location of the course 90739 Systems Synthesis I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90739 Systems Synthesis I?,HBH 1208
How many units is the course 90739 Systems Synthesis I?,12.0
Who are the instructors of the course 90739 Systems Synthesis I?,Crawford
What is the course number of Financial Statements & Analysis for Arts Enterprises?,90744
What is the name of course number 90744?,Financial Statements & Analysis for Arts Enterprises
What time does the course 90744 Financial Statements & Analysis for Arts Enterprises begin?,06:30PM
What time does the course 90744 Financial Statements & Analysis for Arts Enterprises end?,09:20PM
What days does the course 90744 Financial Statements & Analysis for Arts Enterprises meet?,"Monday, "
What is the location of the course 90744 Financial Statements & Analysis for Arts Enterprises?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90744 Financial Statements & Analysis for Arts Enterprises?,HBH 2009
How many units is the course 90744 Financial Statements & Analysis for Arts Enterprises?,6.0
Who are the instructors of the course 90744 Financial Statements & Analysis for Arts Enterprises?,Bacharach
What is the course number of Cost Benefit Analysis?,90747
What is the name of course number 90747?,Cost Benefit Analysis
What time does the course 90747 Cost Benefit Analysis begin?,03:30PM
What time does the course 90747 Cost Benefit Analysis end?,04:50PM
What days does the course 90747 Cost Benefit Analysis meet?,"Tuesday, Thursday"
What is the location of the course 90747 Cost Benefit Analysis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90747 Cost Benefit Analysis?,HBH 1202
How many units is the course 90747 Cost Benefit Analysis?,6.0
Who are the instructors of the course 90747 Cost Benefit Analysis?,Gogolak
What is the course number of Spatial Data Science with ArcGIS Pro?,90753
What is the name of course number 90753?,Spatial Data Science with ArcGIS Pro
What time does the course 90753 Spatial Data Science with ArcGIS Pro begin?,11:00AM
What time does the course 90753 Spatial Data Science with ArcGIS Pro end?,12:20PM
What days does the course 90753 Spatial Data Science with ArcGIS Pro meet?,"Monday, Wednesday, "
What is the location of the course 90753 Spatial Data Science with ArcGIS Pro?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90753 Spatial Data Science with ArcGIS Pro?,HBH 2008
How many units is the course 90753 Spatial Data Science with ArcGIS Pro?,6.0
Who are the instructors of the course 90753 Spatial Data Science with ArcGIS Pro?,Goranson
What is the course number of Optimization?,90755
What is the name of course number 90755?,Optimization
What time does the course 90755 Optimization begin?,02:00PM
What time does the course 90755 Optimization end?,03:20PM
What days does the course 90755 Optimization meet?,"Tuesday, Thursday"
What is the location of the course 90755 Optimization?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90755 Optimization?,HBH 2008
How many units is the course 90755 Optimization?,6.0
Who are the instructors of the course 90755 Optimization?,Caulkins
What is the course number of Communication in VR?,90767
What is the name of course number 90767?,Communication in VR
What time does the course 90767 Communication in VR begin?,02:00PM
What time does the course 90767 Communication in VR end?,03:20PM
What days does the course 90767 Communication in VR meet?,"Monday, Wednesday, "
What is the location of the course 90767 Communication in VR?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90767 Communication in VR?,HBH 1208
How many units is the course 90767 Communication in VR?,6.0
Who are the instructors of the course 90767 Communication in VR?,Hyatt
What is the course number of Econometrics for Policy?,90770
What is the name of course number 90770?,Econometrics for Policy
What time does the course 90770 Econometrics for Policy begin?,02:00PM
What time does the course 90770 Econometrics for Policy end?,03:20PM
What days does the course 90770 Econometrics for Policy meet?,"Tuesday, Thursday"
What is the location of the course 90770 Econometrics for Policy?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90770 Econometrics for Policy?,HBH 1007
How many units is the course 90770 Econometrics for Policy?,12.0
Who are the instructors of the course 90770 Econometrics for Policy?,Benedict
What is the course number of Multi Media?,90782
What is the name of course number 90782?,Multi Media
What time does the course 90782 Multi Media begin?,05:00PM
What time does the course 90782 Multi Media end?,06:20PM
What days does the course 90782 Multi Media meet?,"Tuesday, Thursday"
What is the location of the course 90782 Multi Media?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90782 Multi Media?,WEH 5201
How many units is the course 90782 Multi Media?,12.0
Who are the instructors of the course 90782 Multi Media?,Franko
What is the course number of Affordable Housing Policy and Finance?,90784
What is the name of course number 90784?,Affordable Housing Policy and Finance
What time does the course 90784 Affordable Housing Policy and Finance begin?,06:30PM
What time does the course 90784 Affordable Housing Policy and Finance end?,09:20PM
What days does the course 90784 Affordable Housing Policy and Finance meet?,"Monday, "
What is the location of the course 90784 Affordable Housing Policy and Finance?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90784 Affordable Housing Policy and Finance?,CMU REMOTE
How many units is the course 90784 Affordable Housing Policy and Finance?,6.0
Who are the instructors of the course 90784 Affordable Housing Policy and Finance?,Smith
What is the course number of Media & Communication Design I?,90801
What is the name of course number 90801?,Media & Communication Design I
What time does the course 90801 Media & Communication Design I begin?,09:30AM
What time does the course 90801 Media & Communication Design I end?,10:50AM
What days does the course 90801 Media & Communication Design I meet?,"Tuesday, Thursday"
What is the location of the course 90801 Media & Communication Design I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90801 Media & Communication Design I?,CFA 318
How many units is the course 90801 Media & Communication Design I?,6.0
Who are the instructors of the course 90801 Media & Communication Design I?,Franko
What is the course number of Media & Communication Design II?,90804
What is the name of course number 90804?,Media & Communication Design II
What time does the course 90804 Media & Communication Design II begin?,06:30PM
What time does the course 90804 Media & Communication Design II end?,09:20PM
What days does the course 90804 Media & Communication Design II meet?,"Tuesday, "
What is the location of the course 90804 Media & Communication Design II?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90804 Media & Communication Design II?,WEH 5201
How many units is the course 90804 Media & Communication Design II?,6.0
Who are the instructors of the course 90804 Media & Communication Design II?,Franko
What is the course number of Behavioral Decision Making?,90806
What is the name of course number 90806?,Behavioral Decision Making
What time does the course 90806 Behavioral Decision Making begin?,02:00PM
What time does the course 90806 Behavioral Decision Making end?,03:20PM
What days does the course 90806 Behavioral Decision Making meet?,"Monday, Wednesday, "
What is the location of the course 90806 Behavioral Decision Making?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90806 Behavioral Decision Making?,GHC 4211
How many units is the course 90806 Behavioral Decision Making?,12.0
Who are the instructors of the course 90806 Behavioral Decision Making?,Carbone
What is the course number of Education Finance and Policy?,90817
What is the name of course number 90817?,Education Finance and Policy
What time does the course 90817 Education Finance and Policy begin?,06:30PM
What time does the course 90817 Education Finance and Policy end?,09:20PM
What days does the course 90817 Education Finance and Policy meet?,"Monday, "
What is the location of the course 90817 Education Finance and Policy?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90817 Education Finance and Policy?,HBH 1208
How many units is the course 90817 Education Finance and Policy?,12.0
Who are the instructors of the course 90817 Education Finance and Policy?,Strauss
What is the course number of Critical Analysis of Policy Research?,90822
What is the name of course number 90822?,Critical Analysis of Policy Research
What time does the course 90822 Critical Analysis of Policy Research begin?,02:00PM
What time does the course 90822 Critical Analysis of Policy Research end?,03:20PM
What days does the course 90822 Critical Analysis of Policy Research meet?,"Tuesday, Thursday"
What is the location of the course 90822 Critical Analysis of Policy Research?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90822 Critical Analysis of Policy Research?,HBH 1006
How many units is the course 90822 Critical Analysis of Policy Research?,12.0
Who are the instructors of the course 90822 Critical Analysis of Policy Research?,Kovak
What is the course number of Cost Benefit Analysis?,90824
What is the name of course number 90824?,Cost Benefit Analysis
What time does the course 90824 Cost Benefit Analysis begin?,06:00PM
What time does the course 90824 Cost Benefit Analysis end?,08:50PM
What days does the course 90824 Cost Benefit Analysis meet?,"Wednesday, "
What is the location of the course 90824 Cost Benefit Analysis?,"Washington, District of Columbia"
What is the building and room number of the course 90824 Cost Benefit Analysis?,TBA    
How many units is the course 90824 Cost Benefit Analysis?,6.0
Who are the instructors of the course 90824 Cost Benefit Analysis?,Cheesebrough
What is the course number of Health Policy?,90861
What is the name of course number 90861?,Health Policy
What time does the course 90861 Health Policy begin?,06:30PM
What time does the course 90861 Health Policy end?,09:20PM
What days does the course 90861 Health Policy meet?,"Tuesday, "
What is the location of the course 90861 Health Policy?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90861 Health Policy?,HBH 1005
How many units is the course 90861 Health Policy?,6.0
Who are the instructors of the course 90861 Health Policy?,Dausey
What is the course number of Behavioral Economics in Public Policy?,90882
What is the name of course number 90882?,Behavioral Economics in Public Policy
What time does the course 90882 Behavioral Economics in Public Policy begin?,11:00AM
What time does the course 90882 Behavioral Economics in Public Policy end?,12:20PM
What days does the course 90882 Behavioral Economics in Public Policy meet?,"Tuesday, Thursday"
What is the location of the course 90882 Behavioral Economics in Public Policy?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90882 Behavioral Economics in Public Policy?,HBH 1002
How many units is the course 90882 Behavioral Economics in Public Policy?,12.0
Who are the instructors of the course 90882 Behavioral Economics in Public Policy?,Loewenstein
What is the course number of Econometric Theory and Methods?,90907
What is the name of course number 90907?,Econometric Theory and Methods
What time does the course 90907 Econometric Theory and Methods begin?,02:00PM
What time does the course 90907 Econometric Theory and Methods end?,03:20PM
What days does the course 90907 Econometric Theory and Methods meet?,"Tuesday, Thursday"
What is the location of the course 90907 Econometric Theory and Methods?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 90907 Econometric Theory and Methods?,HBH 1005
How many units is the course 90907 Econometric Theory and Methods?,12.0
Who are the instructors of the course 90907 Econometric Theory and Methods?,Jha
What is the course number of IDeATe: Re-Crafting Computational Thinking with Soft Technologies?,16224
What is the name of course number 16224?,IDeATe: Re-Crafting Computational Thinking with Soft Technologies
What time does the course 16224 IDeATe: Re-Crafting Computational Thinking with Soft Technologies begin?,12:00PM
What time does the course 16224 IDeATe: Re-Crafting Computational Thinking with Soft Technologies end?,02:50PM
What days does the course 16224 IDeATe: Re-Crafting Computational Thinking with Soft Technologies meet?,Friday
What is the location of the course 16224 IDeATe: Re-Crafting Computational Thinking with Soft Technologies?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16224 IDeATe: Re-Crafting Computational Thinking with Soft Technologies?,CFA 111
How many units is the course 16224 IDeATe: Re-Crafting Computational Thinking with Soft Technologies?,12.0
Who are the instructors of the course 16224 IDeATe: Re-Crafting Computational Thinking with Soft Technologies?,"Orta Martinez, Robinson"
What is the course number of Introduction to Feedback Control Systems?,16299
What is the name of course number 16299?,Introduction to Feedback Control Systems
What time does the course 16299 Introduction to Feedback Control Systems begin?,11:00AM
What time does the course 16299 Introduction to Feedback Control Systems end?,12:20PM
What days does the course 16299 Introduction to Feedback Control Systems meet?,"Monday, Wednesday, "
What is the location of the course 16299 Introduction to Feedback Control Systems?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16299 Introduction to Feedback Control Systems?,WEH 5415
How many units is the course 16299 Introduction to Feedback Control Systems?,12.0
Who are the instructors of the course 16299 Introduction to Feedback Control Systems?,Atkeson
What is the course number of Planning Techniques for Robotics?,16350
What is the name of course number 16350?,Planning Techniques for Robotics
What time does the course 16350 Planning Techniques for Robotics begin?,02:00PM
What time does the course 16350 Planning Techniques for Robotics end?,03:20PM
What days does the course 16350 Planning Techniques for Robotics meet?,"Monday, Wednesday, "
What is the location of the course 16350 Planning Techniques for Robotics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16350 Planning Techniques for Robotics?,NSH 3002
How many units is the course 16350 Planning Techniques for Robotics?,12.0
Who are the instructors of the course 16350 Planning Techniques for Robotics?,Likhachev
What is the course number of Robotics Capstone?,16474
What is the name of course number 16474?,Robotics Capstone
What time does the course 16474 Robotics Capstone begin?,08:00AM
What time does the course 16474 Robotics Capstone end?,09:20AM
What days does the course 16474 Robotics Capstone meet?,"Monday, Wednesday, "
What is the location of the course 16474 Robotics Capstone?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16474 Robotics Capstone?,NSH 1305
How many units is the course 16474 Robotics Capstone?,12.0
Who are the instructors of the course 16474 Robotics Capstone?,"Wettergreen, Riviere"
What is the course number of Special Topic: Robot Cognition and Learning?,16633
What is the name of course number 16633?,Special Topic: Robot Cognition and Learning
What time does the course 16633 Special Topic: Robot Cognition and Learning begin?,03:30PM
What time does the course 16633 Special Topic: Robot Cognition and Learning end?,04:20PM
What days does the course 16633 Special Topic: Robot Cognition and Learning meet?,"Monday, Wednesday, "
What is the location of the course 16633 Special Topic: Robot Cognition and Learning?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16633 Special Topic: Robot Cognition and Learning?,WEH 2302
How many units is the course 16633 Special Topic: Robot Cognition and Learning?,12.0
Who are the instructors of the course 16633 Special Topic: Robot Cognition and Learning?,Atkeson
What is the course number of F1Tenth Autonomous Racing?,16663
What is the name of course number 16663?,F1Tenth Autonomous Racing
What time does the course 16663 F1Tenth Autonomous Racing begin?,02:00PM
What time does the course 16663 F1Tenth Autonomous Racing end?,03:20PM
What days does the course 16663 F1Tenth Autonomous Racing meet?,"Tuesday, Thursday"
What is the location of the course 16663 F1Tenth Autonomous Racing?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16663 F1Tenth Autonomous Racing?,NSH 1305
How many units is the course 16663 F1Tenth Autonomous Racing?,12.0
Who are the instructors of the course 16663 F1Tenth Autonomous Racing?,Dolan
What is the course number of MRSD Project 1?,16681
What is the name of course number 16681?,MRSD Project 1
What time does the course 16681 MRSD Project 1 begin?,10:00AM
What time does the course 16681 MRSD Project 1 end?,11:50AM
What days does the course 16681 MRSD Project 1 meet?,"Tuesday, Thursday"
What is the location of the course 16681 MRSD Project 1?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16681 MRSD Project 1?,NSH 3002
How many units is the course 16681 MRSD Project 1?,15.0
Who are the instructors of the course 16681 MRSD Project 1?,Dolan
What is the course number of Introduction to Robotics Business?,16697
What is the name of course number 16697?,Introduction to Robotics Business
What time does the course 16697 Introduction to Robotics Business begin?,11:00AM
What time does the course 16697 Introduction to Robotics Business end?,12:20PM
What days does the course 16697 Introduction to Robotics Business meet?,"Monday, Wednesday, "
What is the location of the course 16697 Introduction to Robotics Business?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16697 Introduction to Robotics Business?,NSH 1305
How many units is the course 16697 Introduction to Robotics Business?,9.0
Who are the instructors of the course 16697 Introduction to Robotics Business?,Batavia
What is the course number of Computer Vision?,16720
What is the name of course number 16720?,Computer Vision
What time does the course 16720 Computer Vision begin?,12:30PM
What time does the course 16720 Computer Vision end?,01:50PM
What days does the course 16720 Computer Vision meet?,"Tuesday, Thursday"
What is the location of the course 16720 Computer Vision?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16720 Computer Vision?,POS A35
How many units is the course 16720 Computer Vision?,12.0
Who are the instructors of the course 16720 Computer Vision?,Ramanan
What is the course number of Learning-based Image Synthesis?,16726
What is the name of course number 16726?,Learning-based Image Synthesis
What time does the course 16726 Learning-based Image Synthesis begin?,09:30AM
What time does the course 16726 Learning-based Image Synthesis end?,10:50AM
What days does the course 16726 Learning-based Image Synthesis meet?,"Monday, Wednesday, "
What is the location of the course 16726 Learning-based Image Synthesis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16726 Learning-based Image Synthesis?,NSH 3002
How many units is the course 16726 Learning-based Image Synthesis?,12.0
Who are the instructors of the course 16726 Learning-based Image Synthesis?,Zhu
What is the course number of Ethics and Robotics?,16735
What is the name of course number 16735?,Ethics and Robotics
What time does the course 16735 Ethics and Robotics begin?,12:30PM
What time does the course 16735 Ethics and Robotics end?,01:50PM
What days does the course 16735 Ethics and Robotics meet?,"Tuesday, Thursday"
What is the location of the course 16735 Ethics and Robotics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16735 Ethics and Robotics?,GHC 5222
How many units is the course 16735 Ethics and Robotics?,12.0
Who are the instructors of the course 16735 Ethics and Robotics?,Nourbakhsh
What is the course number of Optimal Control and Reinforcement Learning?,16745
What is the name of course number 16745?,Optimal Control and Reinforcement Learning
What time does the course 16745 Optimal Control and Reinforcement Learning begin?,05:00PM
What time does the course 16745 Optimal Control and Reinforcement Learning end?,06:20PM
What days does the course 16745 Optimal Control and Reinforcement Learning meet?,"Tuesday, Thursday"
What is the location of the course 16745 Optimal Control and Reinforcement Learning?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16745 Optimal Control and Reinforcement Learning?,TEP 1403
How many units is the course 16745 Optimal Control and Reinforcement Learning?,12.0
Who are the instructors of the course 16745 Optimal Control and Reinforcement Learning?,Manchester
What is the course number of Mobile Manipulation?,16762
What is the name of course number 16762?,Mobile Manipulation
What time does the course 16762 Mobile Manipulation begin?,03:30PM
What time does the course 16762 Mobile Manipulation end?,04:50PM
What days does the course 16762 Mobile Manipulation meet?,"Monday, Wednesday, "
What is the location of the course 16762 Mobile Manipulation?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16762 Mobile Manipulation?,NSH 3002
How many units is the course 16762 Mobile Manipulation?,12.0
Who are the instructors of the course 16762 Mobile Manipulation?,Erickson
What is the course number of Mechatronic Design?,16778
What is the name of course number 16778?,Mechatronic Design
What time does the course 16778 Mechatronic Design begin?,12:00PM
What time does the course 16778 Mechatronic Design end?,01:50PM
What days does the course 16778 Mechatronic Design meet?,"Monday, Wednesday, "
What is the location of the course 16778 Mechatronic Design?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16778 Mechatronic Design?,SH 238
How many units is the course 16778 Mechatronic Design?,12.0
Who are the instructors of the course 16778 Mechatronic Design?,Riviere
What is the course number of Learning for 3D Vision?,16825
What is the name of course number 16825?,Learning for 3D Vision
What time does the course 16825 Learning for 3D Vision begin?,02:00PM
What time does the course 16825 Learning for 3D Vision end?,03:20PM
What days does the course 16825 Learning for 3D Vision meet?,"Monday, Wednesday, "
What is the location of the course 16825 Learning for 3D Vision?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16825 Learning for 3D Vision?,TEP 1403
How many units is the course 16825 Learning for 3D Vision?,12.0
Who are the instructors of the course 16825 Learning for 3D Vision?,Tulsiani
What is the course number of Robot Localization and Mapping?,16833
What is the name of course number 16833?,Robot Localization and Mapping
What time does the course 16833 Robot Localization and Mapping begin?,02:00PM
What time does the course 16833 Robot Localization and Mapping end?,03:20PM
What days does the course 16833 Robot Localization and Mapping meet?,"Monday, Wednesday, "
What is the location of the course 16833 Robot Localization and Mapping?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16833 Robot Localization and Mapping?,NSH 1305
How many units is the course 16833 Robot Localization and Mapping?,12.0
Who are the instructors of the course 16833 Robot Localization and Mapping?,Kaess
What is the course number of Space Robotics Development?,16865
What is the name of course number 16865?,Space Robotics Development
What time does the course 16865 Space Robotics Development begin?,03:30PM
What time does the course 16865 Space Robotics Development end?,04:50PM
What days does the course 16865 Space Robotics Development meet?,"Monday, "
What is the location of the course 16865 Space Robotics Development?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16865 Space Robotics Development?,NSH 1305
How many units is the course 16865 Space Robotics Development?,12.0
Who are the instructors of the course 16865 Space Robotics Development?,"Whittaker, Jones"
What is the course number of Special Topics: Models & Algorithms for Interactive Robotics?,16886
What is the name of course number 16886?,Special Topics: Models & Algorithms for Interactive Robotics
What time does the course 16886 Special Topics: Models & Algorithms for Interactive Robotics begin?,11:00AM
What time does the course 16886 Special Topics: Models & Algorithms for Interactive Robotics end?,12:20PM
What days does the course 16886 Special Topics: Models & Algorithms for Interactive Robotics meet?,"Monday, Wednesday, "
What is the location of the course 16886 Special Topics: Models & Algorithms for Interactive Robotics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16886 Special Topics: Models & Algorithms for Interactive Robotics?,GHC 4101
How many units is the course 16886 Special Topics: Models & Algorithms for Interactive Robotics?,12.0
Who are the instructors of the course 16886 Special Topics: Models & Algorithms for Interactive Robotics?,Bajcsy
What is the course number of Seminar on Robotics?,16897
What is the name of course number 16897?,Seminar on Robotics
What time does the course 16897 Seminar on Robotics begin?,03:30PM
What time does the course 16897 Seminar on Robotics end?,04:50PM
What days does the course 16897 Seminar on Robotics meet?,Friday
What is the location of the course 16897 Seminar on Robotics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 16897 Seminar on Robotics?,NSH 1305
How many units is the course 16897 Seminar on Robotics?,0.0
Who are the instructors of the course 16897 Seminar on Robotics?,Pathak
What is the course number of Study Abroad?,88051
What is the name of course number 88051?,Study Abroad
What time does the course 88051 Study Abroad begin?,12:30PM
What time does the course 88051 Study Abroad end?,01:50PM
